<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
USDRUB,D,01/12/17,00:00,58.8798000
USDRUB,D,02/12/17,00:00,58.8814000
USDRUB,D,03/12/17,00:00,58.9827000
USDRUB,D,04/12/17,00:00,58.8250000
USDRUB,D,05/12/17,00:00,58.7290000
USDRUB,D,06/12/17,00:00,59.2149000
USDRUB,D,07/12/17,00:00,59.1548000
USDRUB,D,08/12/17,00:00,59.1184000
USDRUB,D,09/12/17,00:00,59.1519000
USDRUB,D,10/12/17,00:00,59.1606000
USDRUB,D,11/12/17,00:00,58.9340000
USDRUB,D,12/12/17,00:00,59.2106000
USDRUB,D,13/12/17,00:00,58.6000000
USDRUB,D,14/12/17,00:00,58.8521000
USDRUB,D,15/12/17,00:00,58.8340000
USDRUB,D,16/12/17,00:00,58.8209000
USDRUB,D,17/12/17,00:00,58.8052000
USDRUB,D,18/12/17,00:00,58.6636000
USDRUB,D,19/12/17,00:00,58.7692000
USDRUB,D,20/12/17,00:00,58.6826000
USDRUB,D,21/12/17,00:00,58.4464000
USDRUB,D,22/12/17,00:00,58.3197000
USDRUB,D,23/12/17,00:00,58.3383000
USDRUB,D,24/12/17,00:00,58.3228000
USDRUB,D,25/12/17,00:00,57.9773000
USDRUB,D,26/12/17,00:00,57.5978000
USDRUB,D,27/12/17,00:00,57.8349000
USDRUB,D,28/12/17,00:00,57.4572000
USDRUB,D,29/12/17,00:00,57.7421000
USDRUB,D,30/12/17,00:00,57.6591000
USDRUB,D,31/12/17,00:00,57.6470000
USDRUB,D,01/01/18,00:00,57.7687000
USDRUB,D,02/01/18,00:00,57.4143000
USDRUB,D,03/01/18,00:00,57.1928000
USDRUB,D,04/01/18,00:00,56.9313000
USDRUB,D,05/01/18,00:00,56.9288000
USDRUB,D,06/01/18,00:00,56.9627000
USDRUB,D,07/01/18,00:00,56.9683000
USDRUB,D,08/01/18,00:00,57.1040000
USDRUB,D,09/01/18,00:00,56.9403000
USDRUB,D,10/01/18,00:00,57.0018000
USDRUB,D,11/01/18,00:00,56.4340000
USDRUB,D,12/01/18,00:00,56.6353000
USDRUB,D,13/01/18,00:00,56.6117000
USDRUB,D,14/01/18,00:00,56.5994000
